lap_number,lap_time,tire_compound,tire_age
3.0,87.058,MEDIUM,2.0
4.0,83.376,MEDIUM,3.0
5.0,83.64,MEDIUM,4.0
6.0,83.369,MEDIUM,5.0
7.0,81.463,MEDIUM,6.0
8.0,81.612,MEDIUM,7.0
9.0,81.851,MEDIUM,8.0
10.0,81.437,MEDIUM,9.0
11.0,81.325,MEDIUM,10.0
12.0,81.164,MEDIUM,11.0
13.0,80.171,MEDIUM,12.0
14.0,80.126,MEDIUM,13.0
15.0,79.971,MEDIUM,14.0
16.0,80.384,MEDIUM,15.0
17.0,79.738,MEDIUM,16.0
18.0,80.037,MEDIUM,17.0
19.0,79.874,MEDIUM,18.0
20.0,80.504,MEDIUM,19.0
21.0,79.76,MEDIUM,20.0
22.0,80.59,MEDIUM,21.0
23.0,79.089,MEDIUM,22.0
24.0,78.785,MEDIUM,23.0
25.0,79.342,MEDIUM,24.0
26.0,79.862,MEDIUM,25.0
27.0,78.549,MEDIUM,26.0
28.0,78.587,MEDIUM,27.0
29.0,78.94,MEDIUM,28.0
30.0,78.371,MEDIUM,29.0
31.0,78.471,MEDIUM,30.0
32.0,78.618,MEDIUM,31.0
33.0,78.746,MEDIUM,32.0
34.0,78.86,MEDIUM,33.0
35.0,79.518,MEDIUM,34.0
36.0,80.648,MEDIUM,35.0
37.0,78.605,MEDIUM,36.0
38.0,80.514,MEDIUM,37.0
39.0,78.943,MEDIUM,38.0
40.0,78.673,MEDIUM,39.0
41.0,78.946,MEDIUM,40.0
42.0,77.542,MEDIUM,41.0
43.0,77.867,MEDIUM,42.0
44.0,78.225,MEDIUM,43.0
45.0,78.156,MEDIUM,44.0
46.0,78.104,MEDIUM,45.0
47.0,78.331,MEDIUM,46.0
48.0,77.831,MEDIUM,47.0
49.0,77.398,MEDIUM,48.0
50.0,78.461,MEDIUM,49.0
51.0,95.209,MEDIUM,50.0
52.0,79.702,HARD,2.0
53.0,76.458,HARD,3.0
54.0,76.388,HARD,4.0
55.0,76.492,HARD,5.0
56.0,74.423,HARD,6.0
57.0,77.857,HARD,7.0
58.0,76.855,HARD,8.0
59.0,74.204,HARD,9.0
60.0,75.848,HARD,10.0
61.0,75.274,HARD,11.0
62.0,75.414,HARD,12.0
63.0,74.165,HARD,13.0
64.0,76.164,HARD,14.0
65.0,75.19,HARD,15.0
66.0,75.342,HARD,16.0
67.0,76.117,HARD,17.0
68.0,75.836,HARD,18.0
69.0,75.648,HARD,19.0
70.0,75.638,HARD,20.0
71.0,75.643,HARD,21.0
72.0,75.468,HARD,22.0
73.0,75.134,HARD,23.0
74.0,75.324,HARD,24.0
75.0,75.324,HARD,25.0
76.0,75.245,HARD,26.0
77.0,75.697,HARD,27.0
78.0,76.355,HARD,28.0
