lap_number,lap_time,tire_compound,tire_age
1.0,96.034,MEDIUM,1.0
2.0,91.42,MEDIUM,2.0
3.0,91.716,MEDIUM,3.0
4.0,91.988,MEDIUM,4.0
5.0,91.677,MEDIUM,5.0
6.0,91.746,MEDIUM,6.0
7.0,91.675,MEDIUM,7.0
8.0,91.76,MEDIUM,8.0
9.0,91.564,MEDIUM,9.0
10.0,91.515,MEDIUM,10.0
11.0,91.487,MEDIUM,11.0
12.0,91.563,MEDIUM,12.0
13.0,91.881,MEDIUM,13.0
14.0,91.609,MEDIUM,14.0
15.0,91.563,MEDIUM,15.0
16.0,91.931,MEDIUM,16.0
17.0,93.721,MEDIUM,17.0
18.0,95.071,MEDIUM,18.0
19.0,103.711,MEDIUM,19.0
20.0,100.021,MEDIUM,20.0
21.0,92.156,MEDIUM,21.0
22.0,91.095,MEDIUM,22.0
23.0,91.107,MEDIUM,23.0
24.0,91.635,MEDIUM,24.0
25.0,94.988,MEDIUM,25.0
26.0,100.792,MEDIUM,26.0
27.0,105.183,MEDIUM,27.0
28.0,120.866,INTERMEDIATE,1.0
29.0,100.42,INTERMEDIATE,2.0
30.0,100.467,INTERMEDIATE,3.0
31.0,101.538,INTERMEDIATE,4.0
32.0,102.475,INTERMEDIATE,5.0
33.0,102.435,INTERMEDIATE,6.0
34.0,102.757,INTERMEDIATE,7.0
35.0,102.271,INTERMEDIATE,8.0
36.0,101.924,INTERMEDIATE,9.0
37.0,99.711,INTERMEDIATE,10.0
38.0,97.22,INTERMEDIATE,11.0
39.0,117.389,SOFT,2.0
40.0,90.318,SOFT,3.0
41.0,90.118,SOFT,4.0
42.0,89.617,SOFT,5.0
43.0,89.793,SOFT,6.0
44.0,89.697,SOFT,7.0
45.0,89.438,SOFT,8.0
46.0,89.641,SOFT,9.0
47.0,89.538,SOFT,10.0
48.0,89.579,SOFT,11.0
49.0,89.667,SOFT,12.0
50.0,89.682,SOFT,13.0
51.0,89.743,SOFT,14.0
52.0,90.146,SOFT,15.0
